keys,en,pt,es,fr,de,it
ui_settings_title,Settings,Definições,Ajustes,Paramètres,Einstellungen,Impostazioni
ui_music_volume,Music Volume,Volume da Música,Volumen de Música,Volume de la Musique,Musiklautstärke,Volume Musica
ui_announcer_volume,Announcer Volume,Volume do Locutor,Volumen del Locutor,Volume de l'Annonceur,Ansager-Lautstärke,Volume Annunciatore
ui_sfx_volume,SFX Volume,Volume de Efeitos,Volumen de Efectos,Volume des Effets,SFX-Lautstärke,Volume Effetti
ui_haptics,Haptic Feedback,Vibração,Retroalimentación Háptica,Retour Haptique,Haptisches Feedback,Feedback Aptico
ui_language,Language,Idioma,Idioma,Langue,Sprache,Lingua
ui_player_name,Player Name,Nome do Jogador,Nombre del Jugador,Nom du Joueur,Spielername,Nome Giocatore
announcer_welcome,Welcome to Auramax 67!,Bem-vindo ao Auramax 67!,¡Bienvenido a Auramax 67!,Bienvenue dans Auramax 67 !,Willkommen bei Auramax 67!,Benvenuto in Auramax 67!
duel_aura_label,Aura: %d,Aura: %d,Aura: %d,Aura : %d,Aura: %d,Aura: %d
duel_streak_label,Streak: %d,Sequência: %d,Racha: %d,Série : %d,Serie: %d,Serie: %d
announcer_milestone_tier0_a,Nice rhythm!,Ótimo ritmo!,¡Buen ritmo!,Beau rythme !,Guter Rhythmus!,Ottimo ritmo!
announcer_milestone_tier0_b,You're finding the groove!,Você está pegando o ritmo!,¡Estás encontrando el ritmo!,Tu trouves le rythme !,Du findest den Rhythmus!,Stai trovando il ritmo!
announcer_milestone_tier1_a,You're on fire!,Você está pegando fogo!,¡Estás que ardes!,Tu es en feu !,Du bist in Flammen!,Sei in fiamme!
announcer_milestone_tier1_b,Incredible combo!,Combo incrível!,¡Combo increíble!,Combo incroyable !,Unglaubliche Combo!,Combo incredibile!
announcer_milestone_tier2_a,UNSTOPPABLE!,IMPARÁVEL!,¡IMPARABLE!,IMPARABLE !,UNAUFHALTSAM!,INARRESTABILE!
announcer_milestone_tier2_b,Pure aura mastery!,Domínio puro da aura!,¡Dominio puro del aura!,Maîtrise pure de l'aura !,Reine Aura-Meisterschaft!,Puro dominio dell'aura!
announcer_milestone_tier3_a,LEGENDARY STREAK!!!,SEQUÊNCIA LENDÁRIA!!!,¡RACHA LEGENDARIA!!!,SÉRIE LÉGENDAIRE !!!,LEGENDÄRE SERIE!!!,SERIE LEGGENDARIA!!!
announcer_milestone_tier3_b,THE CROWD IS ROARING!!!,A MULTIDÃO ESTÁ RUGINDO!!!,¡LA MULTITUD RUGE!!!,LA FOULE RUGIT !!!,DIE MENGE TOBT!!!,LA FOLLA RUGGISCE!!!
announcer_burst_fired_a,BURST!!!,BURST!!!,¡BURST!!!,BURST !!!,BURST!!!,BURST!!!
announcer_burst_fired_b,IT'S GOING OFF!!!,EXPLODIU TUDO!!!,¡EXPLOTÓ TODO!!!,ÇA EXPLOSE !!!,ES EXPLODIERT!!!,STA ESPLODENDO TUTTO!!!
announcer_streak_67_a,SIXTY-SEVEN! THE PROPHECY IS FULFILLED!!!,SESSENTA E SETE! A PROFECIA SE CUMPRIU!!!,¡SESENTA Y SIETE! ¡LA PROFECÍA SE CUMPLIÓ!!!,SOIXANTE-SEPT ! LA PROPHÉTIE EST ACCOMPLIE !!!,SIEBENUNDSECHZIG! DIE PROPHEZEIUNG ERFÜLLT SICH!!!,SESSANTASETTE! LA PROFEZIA SI COMPIE!!!
announcer_streak_67_b,SIX. SEVEN. YOU ARE THE CHOSEN ONE!!!,SIX. SEVEN. VOCÊ É O ESCOLHIDO!!!,SIX. SEVEN. ¡ERES EL ELEGIDO!!!,SIX. SEVEN. TU ES L'ÉLU !!!,SIX. SEVEN. DU BIST DER AUSERWÄHLTE!!!,SIX. SEVEN. SEI L'ELETTO!!!
announcer_victory_perfect_a,FLAWLESS VICTORY!,VITÓRIA PERFEITA!,¡VICTORIA PERFECTA!,VICTOIRE PARFAITE !,PERFEKTER SIEG!,VITTORIA PERFETTA!
announcer_victory_perfect_b,YOU CRUSHED IT!,VOCÊ ARRASOU!,¡LO APLASTASTE!,TU AS TOUT ÉCRASÉ !,DU HAST ALLES ZERSTÖRT!,HAI SPACCATO TUTTO!
announcer_victory_good_a,Great win!,Ótima vitória!,¡Gran victoria!,Belle victoire !,Toller Sieg!,Ottima vittoria!
announcer_victory_good_b,You've got this down!,Você já manda bem nisso!,¡Ya lo dominas!,Tu maîtrises ça !,Du hast das drauf!,Ci hai preso la mano!
announcer_victory_clear_a,Victory!,Vitória!,¡Victoria!,Victoire !,Sieg!,Vittoria!
announcer_victory_clear_b,That was close!,Essa foi por pouco!,¡Eso estuvo cerca!,C'était juste !,Das war knapp!,C'è mancato poco!
opponent_01_name,Block Bully,Valentão do Bairro,Matón del Barrio,Caïd du Quartier,Viertel-Schläger,Bullo di Quartiere
opponent_02_name,Fair Champion,Campeão da Feira,Campeón de la Feria,Champion de la Fête Foraine,Jahrmarkt-Champion,Campione della Fiera
opponent_03_name,Stadium King,Rei do Estádio,Rey del Estadio,Roi du Stade,König des Stadions,Re dello Stadio
duel_aura_target_label,Target: %d,Alvo: %d,Objetivo: %d,Cible : %d,Ziel: %d,Obiettivo: %d
duel_time_label,%ds,%ds,%ds,%ds,%ds,%ds
streak_67_bonus_label,+67,+67,+67,+67,+67,+67
opponent_card_threshold_label,%d AURA,%d AURA,%d AURA,%d AURA,%d AURA,%d AURA
opponent_card_cosmetic_label,Unlocked!,Desbloqueado!,¡Desbloqueado!,Débloqué !,Freigeschaltet!,Sbloccato!
result_aura_label,Aura reached: %d,Aura atingida: %d,Aura alcanzada: %d,Aura atteinte : %d,Erreichte Aura: %d,Aura raggiunta: %d
result_time_bonus_label,Time bonus: +%d ego,Bónus de tempo: +%d ego,Bono de tiempo: +%d ego,Bonus de temps : +%d ego,Zeitbonus: +%d Ego,Bonus tempo: +%d ego
result_victory_ego_label,Victory ego: +%d,Ego de vitória: +%d,Ego de victoria: +%d,Ego de victoire : +%d,Sieg-Ego: +%d,Ego di vittoria: +%d
result_ego_level_label,Ego %d,Ego %d,Ego %d,Ego %d,Ego %d,Ego %d
result_coins_label,Coins: +%d,Moedas: +%d,Monedas: +%d,Pièces : +%d,Münzen: +%d,Monete: +%d
result_trophy_label,New cosmetic unlocked!,Novo cosmético desbloqueado!,¡Nuevo cosmético desbloqueado!,Nouveau cosmétique débloqué !,Neues Kosmetikitem freigeschaltet!,Nuovo cosmetico sbloccato!
result_continue_button,Continue,Continuar,Continuar,Continuer,Weiter,Continua
game_over_title,Time's Up,Tempo Esgotado,Se Acabó el Tiempo,Temps Écoulé,Zeit Abgelaufen,Tempo Scaduto
game_over_watch_ad_button,Watch Video (+Time),Ver Vídeo (+Tempo),Ver Vídeo (+Tiempo),Voir la Vidéo (+Temps),Video Ansehen (+Zeit),Guarda Video (+Tempo)
game_over_spend_coins_button,Spend %d Coins (+Time),Gastar %d Moedas (+Tempo),Gastar %d Monedas (+Tiempo),Dépenser %d Pièces (+Temps),%d Münzen Ausgeben (+Zeit),Spendi %d Monete (+Tempo)
game_over_accept_defeat_button,Accept Defeat,Aceitar Derrota,Aceptar Derrota,Accepter la Défaite,Niederlage Akzeptieren,Accetta la Sconfitta
ui_game_title,Auramax 67,Auramax 67,Auramax 67,Auramax 67,Auramax 67,Auramax 67
ui_settings_icon,⚙,⚙,⚙,⚙,⚙,⚙
ui_coming_soon,Coming soon,Em breve,Próximamente,Bientôt disponible,Demnächst,Prossimamente
ui_flag_label,Flag,Bandeira,Bandera,Drapeau,Flagge,Bandiera
ui_avatar_gender_label,Avatar Gender,Género do Avatar,Género del Avatar,Genre de l'Avatar,Avatar-Geschlecht,Genere Avatar
nav_back_button,Back,Voltar,Volver,Retour,Zurück,Indietro
home_story_button,Story,História,Historia,Histoire,Geschichte,Storia
home_arcade_button,Arcade,Arcade,Arcade,Arcade,Arcade,Arcade
home_the_room_button,The Room,O Quarto,La Habitación,La Chambre,Das Zimmer,La Stanza
room_tab_dress,Dress,Vestir,Vestir,Habiller,Anziehen,Vestire
room_tab_shop,Shop,Loja,Tienda,Boutique,Shop,Negozio
room_tab_trophies,Trophies,Troféus,Trofeos,Trophées,Trophäen,Trofei
room_ready_button,Ready,Pronto,Listo,Prêt,Bereit,Pronto
scenario_01_taunt_round_1,That's it? My grandma hits harder than that!,Só isso? Minha vó bate mais forte que isso!,¿Eso es todo? ¡Mi abuela golpea más fuerte que eso!,C'est tout ? Ma grand-mère tape plus fort que ça !,Das war's? Meine Oma haut härter zu!,Tutto qui? Mia nonna colpisce più forte di così!
scenario_01_taunt_round_2,You call that a combo? I've seen scarier butterflies!,Isso é combo? Já vi borboleta mais assustadora!,¿Eso es un combo? ¡He visto mariposas más aterradoras!,"Ça, un combo ? J'ai vu des papillons plus effrayants !",Das nennst du eine Combo? Ich hab furchteinflößendere Schmetterlinge gesehen!,Questo sarebbe un combo? Ho visto farfalle più spaventose!
scenario_01_taunt_round_3,"Ooh, I'm shaking... said no one ever.","Ui, que medo... disse ninguém nunca.","Uy, qué miedo... dijo nadie jamás.","Ouh, j'ai peur... dit personne, jamais.","Ouh, ich zittere... sagte noch nie jemand.","Uh, che paura... disse nessuno mai."
scenario_01_taunt_round_4,"Careful, you might actually make me stand up!","Cuidado, ainda vou ter que ficar de pé por sua causa!","¡Cuidado, casi me haces ponerme de pie!","Attention, tu vas presque me faire me lever !","Vorsicht, du bringst mich fast zum Aufstehen!","Attento, mi fai quasi alzare in piedi!"
scenario_01_taunt_round_5,"My cat could out-tap you, and she's asleep.","Meu gato bate mais rápido que você, e ele tá dormindo.","Mi gato te gana tocando, y está dormido.","Mon chat tape plus vite que toi, et il dort.","Meine Katze tippt schneller als du, und sie schläft.","Il mio gatto ti batte a toccare, ed è addormentato."
scenario_01_taunt_round_6,You'll need way more rice and beans to beat me!,Pra me vencer você precisa comer muito mais arroz com feijão!,¡Para vencerme vas a necesitar comer mucho arroz con frijoles!,"Pour me battre, il te faudra beaucoup plus de riz et de haricots !","Um mich zu besiegen, brauchst du viel mehr Reis mit Bohnen!",Per battermi ti serve molto più riso e fagioli!
scenario_01_taunt_round_7,Is that your final form? Cute.,Essa é sua forma final? Que fofo.,¿Esa es tu forma final? Qué tierno.,C'est ta forme finale ? Mignon.,Ist das deine Endform? Süß.,Questa è la tua forma finale? Che carino.
scenario_01_taunt_round_8,I've felt stronger breezes from a fan on low.,Já senti vento de ventilador mais forte que isso.,He sentido vientos de ventilador más fuertes que eso.,J'ai senti des courants d'air plus forts que ça.,Ich hab schon stärkeren Wind von einem Ventilator gespürt.,Ho sentito venti di ventilatore più forti di questo.
scenario_01_taunt_round_9,"One more round and maybe — MAYBE — I'll notice you.",Mais uma rodada e talvez — TALVEZ — eu note você.,Una ronda más y tal vez — TAL VEZ — te note.,Encore un round et peut-être — PEUT-ÊTRE — que je te remarquerai.,"Noch eine Runde, und vielleicht — VIELLEICHT — bemerke ich dich.",Un altro round e forse — FORSE — ti noterò.
